"input","method","n","rep","seed","elapsed_sec","ok","error"
"raw","available",80,1,686061,0.001,TRUE,""
"raw","ipw",80,1,686061,0.00600000000000001,TRUE,""
"raw","gwet",80,1,686061,0.001,TRUE,""
"raw","fiml",80,1,686061,0.361,TRUE,""
"counts","available",80,1,686061,0,TRUE,""
"counts","fiml",80,1,686061,0.019,TRUE,""
"raw","available",160,1,766061,0.004,TRUE,""
"raw","ipw",160,1,766061,0.004,TRUE,""
"raw","gwet",160,1,766061,0.004,TRUE,""
"raw","fiml",160,1,766061,0.328,TRUE,""
"counts","available",160,1,766061,0.00099999999999989,TRUE,""
"counts","fiml",160,1,766061,0.00499999999999989,TRUE,""
