"mechanism","estimator","coefficient","n","reps","n_success","failures","truth","mean_estimate","bias","sd","rmse","mc_se_bias","mean_observed_fraction","mean_observed_raters","mean_zero_observed_fraction"
"m1_rater_mcar","counts_fiml","Brennan-Prediger",500,30,30,0,0.656030112,0.747581515433657,0.0915514034336565,0.0114585563727552,0.0922419718332251,0.00209203660060087,0.610946666666667,3.05473333333333,0.00146666666666667
"m1_rater_mcar","raw_fiml","Brennan-Prediger",500,30,30,0,0.656030112,0.650504939489514,-0.00552517251048602,0.0215000886935553,0.0218488646075797,0.00392536118860733,0.610946666666667,3.05473333333333,0.00146666666666667
"m1_rater_mcar","raw_ipw","Brennan-Prediger",500,30,30,0,0.656030112,0.658880010370283,0.00284989837028296,0.0212195457304004,0.021056639594801,0.00387414128551758,0.610946666666667,3.05473333333333,0.00146666666666667
"m1_rater_mcar","counts_fiml","Fleiss",500,30,30,0,0.652494739899285,0.74415019396312,0.0916554540638354,0.0115703794241828,0.0923587217520183,0.00211245260317285,0.610946666666667,3.05473333333333,0.00146666666666667
"m1_rater_mcar","raw_fiml","Fleiss",500,30,30,0,0.652494739899285,0.64620894654067,-0.00628579335861457,0.0217426084697622,0.0222821495173663,0.00396963903929722,0.610946666666667,3.05473333333333,0.00146666666666667
"m1_rater_mcar","raw_ipw","Fleiss",500,30,30,0,0.652494739899285,0.654754917339384,0.00226017744009869,0.0211848189445157,0.0209510159813053,0.00386780107085801,0.610946666666667,3.05473333333333,0.00146666666666667
"m2_value_dropout","counts_fiml","Brennan-Prediger",500,30,30,0,0.7403728,0.732675312116067,-0.00769748788393284,0.0185344733962076,0.0197819901340132,0.0033839163901941,0.643453333333333,3.21726666666667,0.0216
"m2_value_dropout","raw_fiml","Brennan-Prediger",500,30,30,0,0.7403728,0.720970011452147,-0.0194027885478529,0.0183081285280047,0.026466636632259,0.00334259166016402,0.643453333333333,3.21726666666667,0.0216
"m2_value_dropout","raw_ipw","Brennan-Prediger",500,30,30,0,0.7403728,0.759680070873705,0.0193072708737048,0.0213114595245388,0.028492275071578,0.00389092237164941,0.643453333333333,3.21726666666667,0.0216
"m2_value_dropout","counts_fiml","Fleiss",500,30,30,0,0.737614095591926,0.72723595754693,-0.0103781380449958,0.0188594756089426,0.0212492252921641,0.00344325340457877,0.643453333333333,3.21726666666667,0.0216
"m2_value_dropout","raw_fiml","Fleiss",500,30,30,0,0.737614095591926,0.715400897488555,-0.0222131981033707,0.0186103726773146,0.0287789380530597,0.00339777363964768,0.643453333333333,3.21726666666667,0.0216
"m2_value_dropout","raw_ipw","Fleiss",500,30,30,0,0.737614095591926,0.749757782235429,0.0121436866435036,0.0217242699273567,0.024569932147031,0.00396629089484813,0.643453333333333,3.21726666666667,0.0216
