"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0.95,0.95,0.95,0.95,0.95,0.95,0.82,0.81,0.82
"2",0.26,0.26,0.26,0.26,0.26,0.26,0.33,0.33,0.33
"3",0.95,0.95,0.95,0.94,0.95,0.95,0.81,0.81,0.82
"4",0.26,0.26,0.26,0.27,0.27,0.27,0.33,0.33,0.34
"5",0.95,0.95,0.95,0.95,0.95,0.95,0.81,0.81,0.82
"6",0.26,0.26,0.26,0.27,0.27,0.26,0.33,0.33,0.33
"7",0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.95
"8",0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
"9",0.92,0.92,0.92,0.9,0.9,0.9,0.43,0.43,0.44
"10",0.27,0.27,0.27,0.28,0.28,0.28,0.33,0.33,0.33
"11",0.95,0.95,0.95,0.94,0.94,0.94,0.52,0.52,0.53
"12",0.11,0.11,0.11,0.11,0.11,0.11,0.14,0.14,0.14
"13",0.95,0.95,0.95,0.94,0.94,0.93,0.51,0.52,0.51
"14",0.11,0.11,0.11,0.11,0.11,0.11,0.14,0.14,0.14
"15",0.95,0.95,0.95,0.94,0.94,0.94,0.51,0.52,0.52
"16",0.11,0.11,0.11,0.11,0.11,0.11,0.14,0.14,0.14
"17",0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9
"18",0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
"19",0.95,0.94,0.95,0.89,0.89,0.88,0.1,0.11,0.11
"20",0.11,0.11,0.11,0.11,0.11,0.11,0.14,0.14,0.14
